image,class_id,similarity_individual,similarity_class,difference,individual_better
image_03336.jpg,8,0.16479,0.14987,0.01492,True
image_03337.jpg,8,0.10223,0.11889,-0.01666,False
image_03338.jpg,8,0.12119,0.13699,-0.0158,False
image_03339.jpg,8,0.13559,0.13078,0.0048,True
image_03340.jpg,8,0.16294,0.14391,0.01903,True
image_03341.jpg,8,0.14403,0.14293,0.0011,True
image_03343.jpg,8,0.13465,0.13584,-0.00119,False
image_03344.jpg,8,0.15556,0.14938,0.00617,True
image_03345.jpg,8,0.12943,0.13542,-0.00599,False
image_03346.jpg,8,0.13989,0.1453,-0.00541,False
image_03348.jpg,8,0.15586,0.1354,0.02047,True
image_03350.jpg,8,0.1658,0.14712,0.01867,True
image_03351.jpg,8,0.11574,0.13628,-0.02054,False
image_03352.jpg,8,0.15505,0.1416,0.01345,True
image_03353.jpg,8,0.13261,0.12825,0.00435,True
image_03354.jpg,8,0.12306,0.12604,-0.00298,False
image_03355.jpg,8,0.16179,0.13008,0.0317,True
image_03356.jpg,8,0.15751,0.13403,0.02349,True
image_03358.jpg,8,0.15352,0.13209,0.02143,True
image_03360.jpg,8,0.12559,0.12477,0.00082,True
image_03361.jpg,8,0.15582,0.1383,0.01752,True
image_03362.jpg,8,0.12349,0.13689,-0.0134,False
image_03363.jpg,8,0.10896,0.14081,-0.03185,False
image_03365.jpg,8,0.14337,0.1354,0.00797,True
image_03367.jpg,8,0.12739,0.14572,-0.01833,False
image_03368.jpg,8,0.14094,0.12339,0.01755,True
image_06395.jpg,9,0.09321,0.14623,-0.05302,False
image_06396.jpg,9,0.12953,0.0943,0.03523,True
image_06397.jpg,9,0.13205,0.10353,0.02851,True
image_06399.jpg,9,0.13366,0.09792,0.03574,True
image_06400.jpg,9,0.08639,0.13103,-0.04464,False
image_06401.jpg,9,0.12225,0.11379,0.00846,True
image_06402.jpg,9,0.10771,0.13192,-0.02421,False
image_06403.jpg,9,0.10508,0.1081,-0.00302,False
image_06404.jpg,9,0.15613,0.13052,0.02561,True
image_06405.jpg,9,0.11098,0.11266,-0.00169,False
image_06406.jpg,9,0.06879,0.11338,-0.04459,False
image_06407.jpg,9,0.14611,0.12815,0.01796,True
image_06408.jpg,9,0.11502,0.107,0.00802,True
image_06409.jpg,9,0.11088,0.12709,-0.01621,False
image_06411.jpg,9,0.1306,0.12351,0.00709,True
image_06412.jpg,9,0.16443,0.12104,0.04339,True
image_06415.jpg,9,0.12565,0.10553,0.02012,True
image_06416.jpg,9,0.10143,0.10682,-0.00539,False
image_06417.jpg,9,0.12838,0.1469,-0.01852,False
image_06418.jpg,9,0.12099,0.12814,-0.00715,False
image_06419.jpg,9,0.11239,0.14643,-0.03403,False
image_06421.jpg,9,0.12792,0.12761,0.00031,True
image_06422.jpg,9,0.13623,0.10431,0.03191,True
image_06423.jpg,9,0.1212,0.09437,0.02683,True
image_06424.jpg,9,0.13695,0.11261,0.02435,True
image_06425.jpg,9,0.14998,0.08907,0.06091,True
image_06426.jpg,9,0.12496,0.11213,0.01284,True
image_06427.jpg,9,0.10946,0.13955,-0.03009,False
image_06428.jpg,9,0.11362,0.1392,-0.02558,False
image_06429.jpg,9,0.11847,0.10355,0.01493,True
image_06430.jpg,9,0.12945,0.11524,0.01422,True
image_06431.jpg,9,0.07938,0.08819,-0.00881,False
image_06432.jpg,9,0.13531,0.13871,-0.0034,False
image_06433.jpg,9,0.14349,0.11405,0.02944,True
image_06434.jpg,9,0.14494,0.11861,0.02633,True
image_06435.jpg,9,0.11619,0.09576,0.02043,True
image_06436.jpg,9,0.11065,0.12245,-0.0118,False
image_06437.jpg,9,0.13125,0.11991,0.01134,True
image_06438.jpg,9,0.14239,0.13536,0.00704,True
image_06439.jpg,9,0.1194,0.10291,0.01649,True
image_06440.jpg,9,0.05767,0.14056,-0.0829,False
image_07086.jpg,10,0.14978,0.1436,0.00618,True
image_07087.jpg,10,0.1438,0.13683,0.00697,True
image_07088.jpg,10,0.13452,0.1597,-0.02518,False
image_07089.jpg,10,0.15325,0.14586,0.00738,True
image_07091.jpg,10,0.13305,0.12677,0.00628,True
image_07092.jpg,10,0.1614,0.14986,0.01154,True
image_07093.jpg,10,0.14981,0.14398,0.00583,True
image_07095.jpg,10,0.11818,0.15217,-0.03399,False
image_07096.jpg,10,0.14216,0.13101,0.01116,True
image_07097.jpg,10,0.1615,0.14022,0.02129,True
image_07098.jpg,10,0.14936,0.12817,0.02119,True
image_07099.jpg,10,0.17406,0.13902,0.03504,True
image_07100.jpg,10,0.14128,0.15351,-0.01224,False
image_07103.jpg,10,0.12303,0.13878,-0.01575,False
image_07105.jpg,10,0.14584,0.15208,-0.00624,False
image_07106.jpg,10,0.10803,0.11249,-0.00445,False
image_07108.jpg,10,0.15308,0.15372,-0.00064,False
image_07109.jpg,10,0.11407,0.13944,-0.02537,False
image_07110.jpg,10,0.13643,0.15367,-0.01724,False
image_07111.jpg,10,0.10973,0.14162,-0.03189,False
image_07112.jpg,10,0.14459,0.15863,-0.01404,False
image_07113.jpg,10,0.0879,0.06545,0.02245,True
image_07114.jpg,10,0.17276,0.14334,0.02942,True
image_07115.jpg,10,0.14759,0.14375,0.00383,True
image_07116.jpg,10,0.13789,0.11691,0.02098,True
image_07118.jpg,10,0.15618,0.1533,0.00288,True
image_07119.jpg,10,0.13227,0.13609,-0.00382,False
image_07120.jpg,10,0.14452,0.1412,0.00332,True
image_07121.jpg,10,0.15116,0.13868,0.01247,True
image_07122.jpg,10,0.12782,0.12498,0.00284,True
image_08090.jpg,10,0.138,0.13379,0.00421,True
image_08091.jpg,10,0.1393,0.13186,0.00745,True
image_08092.jpg,10,0.12793,0.13594,-0.00801,False
image_08093.jpg,10,0.14305,0.15501,-0.01196,False
image_08094.jpg,10,0.10769,0.12748,-0.01979,False
image_08095.jpg,10,0.08352,0.11404,-0.03051,False
image_08096.jpg,10,0.12935,0.13082,-0.00147,False
image_08097.jpg,10,0.13224,0.14946,-0.01722,False
image_03095.jpg,11,0.14166,0.08649,0.05518,True
image_03096.jpg,11,0.15047,0.13585,0.01462,True
image_03097.jpg,11,0.12288,0.11805,0.00483,True
image_03099.jpg,11,0.15232,0.10369,0.04863,True
image_03101.jpg,11,0.17266,0.13839,0.03427,True
image_03102.jpg,11,0.16009,0.1183,0.04179,True
image_03103.jpg,11,0.15349,0.11748,0.03601,True
image_03104.jpg,11,0.14115,0.13558,0.00557,True
image_03105.jpg,11,0.14719,0.12078,0.02642,True
image_03106.jpg,11,0.14216,0.09768,0.04448,True
image_03107.jpg,11,0.16474,0.09786,0.06688,True
image_03109.jpg,11,0.22109,0.10799,0.1131,True
image_03110.jpg,11,0.12669,0.14436,-0.01767,False
image_03112.jpg,11,0.11837,0.07469,0.04367,True
image_03113.jpg,11,0.17041,0.11617,0.05424,True
image_03114.jpg,11,0.13081,0.13591,-0.0051,False
image_03117.jpg,11,0.13215,0.11484,0.01731,True
image_03118.jpg,11,0.1501,0.1023,0.0478,True
image_03119.jpg,11,0.13989,0.12069,0.0192,True
image_03120.jpg,11,0.11993,0.10603,0.0139,True
image_03121.jpg,11,0.14675,0.10664,0.04012,True
image_03122.jpg,11,0.15283,0.09087,0.06196,True
image_03123.jpg,11,0.13735,0.12341,0.01394,True
image_03124.jpg,11,0.16687,0.11626,0.05061,True
image_03126.jpg,11,0.09912,0.08065,0.01847,True
image_03127.jpg,11,0.18314,0.15708,0.02606,True
image_03129.jpg,11,0.13394,0.14844,-0.0145,False
image_03131.jpg,11,0.14628,0.10211,0.04417,True
image_03132.jpg,11,0.15608,0.12944,0.02664,True
image_03133.jpg,11,0.17731,0.11961,0.0577,True
image_03134.jpg,11,0.13909,0.11711,0.02199,True
image_03135.jpg,11,0.15325,0.12948,0.02377,True
image_03136.jpg,11,0.15214,0.1359,0.01624,True
image_03137.jpg,11,0.10526,0.10653,-0.00127,False
image_03138.jpg,11,0.15229,0.12748,0.02481,True
image_03140.jpg,11,0.09557,0.13745,-0.04188,False
image_03142.jpg,11,0.15755,0.11676,0.04079,True
image_03143.jpg,11,0.16266,0.11123,0.05144,True
image_03144.jpg,11,0.1369,0.09805,0.03885,True
image_03146.jpg,11,0.119,0.13481,-0.0158,False
image_03148.jpg,11,0.15988,0.09018,0.0697,True
image_03149.jpg,11,0.1654,0.11881,0.04659,True
image_03150.jpg,11,0.19556,0.14674,0.04882,True
image_03152.jpg,11,0.14352,0.11617,0.02736,True
image_03153.jpg,11,0.15599,0.13123,0.02476,True
image_03154.jpg,11,0.12658,0.08245,0.04413,True
image_03155.jpg,11,0.1427,0.11482,0.02788,True
image_03156.jpg,11,0.14382,0.11248,0.03134,True
image_03158.jpg,11,0.14709,0.10629,0.0408,True
image_03159.jpg,11,0.14881,0.12404,0.02477,True
image_03160.jpg,11,0.14569,0.09884,0.04685,True
image_03161.jpg,11,0.14742,0.11272,0.0347,True
image_03162.jpg,11,0.12752,0.11229,0.01523,True
image_03163.jpg,11,0.15239,0.12894,0.02345,True
image_03164.jpg,11,0.16099,0.09796,0.06303,True
image_03166.jpg,11,0.13056,0.10987,0.02069,True
image_03167.jpg,11,0.17379,0.12369,0.0501,True
image_03168.jpg,11,0.1552,0.11972,0.03548,True
image_03169.jpg,11,0.15509,0.1148,0.04029,True
image_03170.jpg,11,0.13642,0.12696,0.00946,True
image_03171.jpg,11,0.16201,0.10783,0.05417,True
image_03172.jpg,11,0.14369,0.12388,0.01981,True
